size,modules,integration,tech_stack,reusability,team,complexity,cost,time
120,8,1,1,60,4,1,42000,4.8
160,10,2,1,55,5,2,58000,6.2
210,14,3,3,35,6,3,98000,9.4
95,6,1,1,70,3,1,32000,3.9
180,12,2,2,50,5,2,67000,6.9
260,17,3,3,30,7,3,122000,11.2
140,9,2,1,62,4,2,51000,5.5
300,20,3,2,28,8,3,135000,12.0
110,7,1,2,65,4,1,39000,4.3
230,15,2,3,45,6,3,89000,8.7
175,11,2,2,58,5,2,64000,6.5
320,22,3,3,25,9,3,148000,12.8
105,6,1,1,72,3,1,30000,3.6
195,13,2,2,52,6,2,71000,7.2
280,18,3,3,33,7,3,128000,11.5
150,10,1,2,66,4,2,49000,5.1
240,16,3,2,40,6,3,101000,9.6
130,8,1,1,68,4,1,41000,4.6
205,14,2,3,47,5,3,83000,8.1
290,19,3,3,29,8,3,132000,11.9
155,10,2,1,61,5,2,56000,5.9
225,15,3,2,42,6,3,96000,9.0
115,7,1,1,69,3,1,34500,4.0
265,17,3,3,31,7,3,124000,11.3
185,12,2,2,54,5,2,68500,6.8
